"ID","Age","Gender","Adblock","DoNotTrack","Incognito","AdsEffective","PurchaseProduct","Intrusive","Personalize","Trade"
"1",22,"M",1,1,"Sometimes",1,1,1,1,3
"2",24,"M",0,1,"Frequently",1,0,9,1,3
"3",36,"M",0,0,"Sometimes",3,0,9,0,3
"4",25,"M",1,-1,"Frequently",5,1,9,0,0
"5",28,"M",-1,0,"Sometimes",5,1,9,1,3
"6",43,"F",1,0,"Never",-1,1,-1,-1,1
"7",28,"F",0,0,"Sometimes",1,1,-1,-1,2
"8",20,"M",1,-1,"Never",-1,-1,-1,-1,0
"9",17,"F",0,0,"Sometimes",3,-1,1,-1,0
"10",23,"M",1,0,"Sometimes",1,0,9,0,0
"11",24,"M",1,1,"Sometimes",1,0,1,0,1
"12",19,"M",0,0,"Frequently",5,1,1,1,4
"13",37,"M",1,1,"Sometimes",1,1,9,0,1
"14",40,"M",0,0,"Never",1,1,1,0,0
"15",31,"M",1,0,"Frequently",3,0,9,1,0
"16",29,"M",1,0,"Sometimes",1,1,1,1,0
"17",24,"M",0,0,"Sometimes",5,1,9,1,3
"18",23,"F",1,1,"Sometimes",1,1,9,0,0
"19",NA,"M",1,1,"Frequently",1,0,9,0,0
"20",22,"M",1,1,"Sometimes",1,0,9,0,4
"21",50,"M",1,1,"Sometimes",5,1,9,1,2
"22",NA,"",1,0,"Frequently",1,0,9,0,2
"23",NA,"F",0,0,"Frequently",5,0,9,1,3
"24",34,"F",1,1,"Sometimes",-1,1,9,1,3
"25",32,"F",1,-1,"Never",5,1,9,1,3
"26",22,"M",1,1,"Frequently",1,0,1,1,4
"27",32,"M",0,1,"Sometimes",1,1,1,1,6
"28",32,"F",0,0,"Sometimes",5,1,9,1,1
"29",NA,"",0,0,"Never",3,1,9,0,0
"30",35,"F",1,1,"Never",1,0,9,0,0
"31",24,"M",0,0,"Sometimes",3,1,9,0,0
"32",27,"F",0,1,"Sometimes",1,1,1,1,2
"33",28,"F",1,0,"Sometimes",1,0,9,0,0
"34",31,"F",0,0,"Sometimes",5,1,1,1,3
"35",29,"F",0,1,"Sometimes",1,0,9,0,6
"36",35,"M",0,0,"Never",5,1,1,1,0
"37",38,"M",0,0,"Sometimes",5,1,1,1,3
"38",24,"F",0,-1,"Sometimes",5,1,9,1,1
"39",23,"F",0,1,"Never",5,1,1,1,3
"40",23,"F",0,0,"Never",5,1,1,1,12
"41",37,"M",1,1,"Sometimes",5,1,1,1,3
"42",15,"M",0,0,"Sometimes",1,0,-1,0,0
"43",17,"F",0,0,"Sometimes",1,0,9,1,3
"44",17,"F",0,0,"Sometimes",3,1,9,0,3
"45",14,"F",1,0,"Sometimes",5,0,9,1,3
"46",19,"M",0,0,"Sometimes",5,1,9,1,3
"47",25,"F",0,0,"Sometimes",5,1,9,0,4
"48",34,"M",0,0,"Sometimes",1,1,-1,0,1
"49",21,"F",0,0,"Sometimes",1,0,9,0,4
"50",25,"F",0,0,"Never",5,1,9,1,7
"51",38,"F",0,0,"Never",1,0,-1,0,0
"52",22,"F",0,0,"Sometimes",1,0,9,1,1
"53",21,"F",0,1,"Never",3,0,1,1,0
"54",21,"F",0,0,"Never",5,1,9,1,2
"55",30,"F",1,0,"Never",5,1,9,1,12
"56",32,"M",1,1,"Frequently",1,1,9,1,0
"57",20,"M",-1,-1,"Sometimes",1,0,1,1,0
"58",22,"F",1,1,"Frequently",1,1,9,1,12
"59",27,"M",0,0,"Frequently",5,1,1,1,4
"60",25,"F",0,0,"Never",1,1,9,0,2
"61",26,"F",1,0,"Sometimes",3,1,9,0,2
"62",23,"M",0,0,"Sometimes",5,1,9,1,12
"63",20,"F",0,1,"Sometimes",3,0,1,0,3
"64",27,"F",0,0,"Never",5,1,-1,1,3
"65",33,"F",0,0,"Sometimes",5,1,1,1,5
"66",26,"F",0,-1,"Never",5,1,9,1,7
"67",22,"F",0,1,"Never",5,-1,1,1,9
"68",26,"F",0,0,"Sometimes",1,0,1,1,3
"69",34,"M",0,0,"Never",1,0,9,1,3
"70",28,"M",0,0,"Never",1,0,1,0,3
"71",28,"M",0,0,"Sometimes",1,-1,1,1,12
"72",31,"M",0,0,"Sometimes",1,1,9,0,9
"73",28,"M",1,1,"Sometimes",1,0,1,0,2
"74",30,"M",0,0,"Never",1,0,9,1,4
"75",30,"F",0,0,"Never",3,1,1,-1,9
"59d2b76b12d8e15ceb99ed0a9ee648fc",35,"F",1,1,"Sometimes",5,1,9,1,5
"4724a91dd09f2db9d37922af07db9cd9",23,"M",1,0,"Frequently",-1,0,-1,-1,2
"1fed57a3eb6cbfabd4c9c4e3db7a5d9d",21,"M",1,0,"Sometimes",3,1,4,1,7
"f62ce29c45d4c77d6cb45c36c969404b",21,"M",1,1,"Frequently",-1,0,-1,0,0
"6f895b34f1d1aa19484da31b31cb40e2",20,"F",0,0,"Never",3,1,3,1,3
"f3435d780c5d72ec36dd5ce0910ff4de",20,"M",1,0,"Frequently",2,0,3,1,1
"f2eef80cb1bc5b9cace14be1897450e8",22,"F",0,0,"Never",2,1,3,1,7
"b7f2547bceb30a5467be15bb82dde63c",21,"F",1,0,"Sometimes",3,1,4,1,1
"293731a7fa55859ed6adf8f636f1af65",21,"F",1,1,"Sometimes",3,0,4,0,5
"cc2e27fe3260f4e850f881785a791f64",21,"M",1,1,"Frequently",1,0,5,0,0
"a0327fce15ec27414b06abf1d61ccc53",34,"F",0,0,"Never",3,1,3,1,4
"beac30576de452d57690c1ec08139eb8",20,"M",1,1,"Frequently",3,1,4,0,2
"4e3c6b26d22bab53f948e08aed2267f5",21,"M",1,0,"Sometimes",1,1,3,1,3
"672a8bbf0daf994149c2a236005024a2",20,"M",1,1,"Frequently",1,1,1,-1,12
"b8c9b13c2d8124c788ac1f57e3a75667",35,"F",0,0,"Never",4,1,5,1,6
"e1ebfe73c8c3e1890c17e7193166b3ad",34,"F",0,1,"Never",4,1,2,1,6
"a5e430a47439cc836ab0d3567a486a3c",20,"F",1,0,"Frequently",3,1,2,1,0
"58e0c84c1c66fab7a87898981c99a372",21,"F",0,0,"Never",2,1,4,1,1
"c438af2e65951dd10c417c23e316b4ec",34,"F",0,0,"Sometimes",3,1,3,1,3
"4459982b7d2fc5c465d51c74a1d20833",22,"M",1,1,"Frequently",1,0,5,0,0
"bc5f76005ca3ef2ca634317bda98d404",21,"F",0,0,"Sometimes",2,1,5,0,2
"4c0f0367bbf4a969d48af8f4a19a39ca",20,"M",-1,0,"Sometimes",1,1,5,0,5
"0996606d6fbb82c2cbda0b65ca32edf3",21,"F",0,0,"Sometimes",2,1,3,1,4
"12ed8965a1372aa2aa00068c2fce547c",21,"M",1,0,"Sometimes",2,1,5,0,1
"e64f7e40aa47e56e5aff7b013834f126",20,"M",1,0,"Sometimes",1,0,4,1,6
"c4339c9ba06c28ce56bb75240bdc3546",21,"F",1,1,"Sometimes",1,0,5,0,2
"267fbea267e2f2355342706d87ffba39",34,"M",1,1,"Frequently",2,1,4,0,0
"3825ded30cc3e1873f23114814afa2df",25,"M",0,0,"Frequently",5,1,2,1,5
"8b8926742d22eba681fbd3e463501274",35,"F",0,1,"Sometimes",2,1,1,0,1
"66c1aaa9a4aad555354e3c00c51b1725",21,"M",1,1,"Frequently",-1,0,4,0,0
"c696f89040286cd614b2ea600cbfdee0",22,"M",1,1,"Frequently",-1,0,5,0,1
"4b719ef9dd997b9a2e62e6bd596dc4b7",27,"F",0,0,"Never",1,0,5,0,2
"c0614f52e69bf04782919cc1adfa47c9",23,"M",1,0,"Sometimes",1,1,3,1,3
"ad50603bb0a2d2484ee09f7586fdb0b7",19,"M",1,0,"Never",4,1,3,1,3
"96bb0719387c2f8cd4d5c8416373d636",30,"M",0,0,"Sometimes",2,1,3,0,1
"3b14474a579e7157bc76466f43661e83",21,"M",1,1,"Sometimes",1,0,5,0,1
"09787a2a5ec7f4f31597611101a33d50",20,"M",1,0,"Sometimes",3,1,3,1,5
"20c7cc6029eb892fda3131753ee2ddeb",21,"M",1,0,"Sometimes",1,0,2,1,6
"1f55a8fc0829569d5be13ed19129d313",20,"F",1,0,"Sometimes",1,1,5,0,3
"de9b8cc2d4eb0eac8d1f126f241c41ab",21,"F",0,0,"Sometimes",3,1,3,1,5
"381a5ce09412ded3febb5db751011320",21,"F",0,0,"Sometimes",4,1,4,-1,3
"2881ccff48496d33041bd3f09c490c4a",22,"F",1,1,"Sometimes",4,1,4,1,0
"470b8bff6572374101a0b62e2e0128d9",23,"F",1,0,"Sometimes",1,1,5,0,0
"9c8447dc89cd9e39738570f9ea3600c7",20,"F",1,0,"Sometimes",3,1,3,1,12
"13d4ca3b18967fe744ac44e4ffe25dda",21,"F",1,0,"Sometimes",2,1,3,1,1
"b3253b5c7cf269dbd1c3c2a6605b264a",21,"M",0,1,"Sometimes",3,1,4,1,0
"d947164179d7c774f3aaf5a884362282",20,"M",0,1,"Frequently",3,1,4,1,6
"a7d2af3dceb21c6ec18dcdc48220a934",21,"F",1,0,"Sometimes",1,0,4,0,1
"f75cb667f33adfa52194a182b994f0d2",19,"M",1,0,"Sometimes",4,1,3,1,7
"f21ef9497c141dd968766383431db084",21,"M",1,1,"Sometimes",1,0,4,0,6
"53da7a10b410f77e21d7d8013b145fc0",18,"M",1,0,"Sometimes",2,1,3,1,5
"311a2ba83828b89c10fca714c85baffa",31,"F",0,0,"Sometimes",4,1,3,1,2
"0493fe2488a81434f510b30851042d27",21,"M",1,1,"Sometimes",2,1,3,0,2
"45a2d65917eee4f6a2f49c3ea2c766b2",20,"F",1,1,"Frequently",2,0,3,0,2
"00d92004cda7b4c2be05bf18fc8703d6",20,"F",0,0,"Never",1,0,3,1,6
"a27b469ebbbc54ee66468d4ed388e4c2",20,"M",1,0,"Sometimes",3,0,3,1,6
