X.,What.is.your.name.,What.is.your.age.,What.is.your.gender.,What.kind.of.phone.do.you.have.,Do.you.use.some.type.of.Ad.Blocking.software.,Do.you.use.any..Do.Not.Track..Services.,How.often.do.you.use.Incognito.Mode.,Browsing.Data,Health,Financial,Mobile.Data,None.of.the.Above,Other,Browsing.Data.1,Health.1,Financial.1,Mobile.Data.1,None.of.the.Above.1,Other.1,Browsing.Data.2,Health.2,Financial.2,Mobile.Data.2,None.of.the.Above.2,Other.2,What.do.you.feel.about.the.effectiveness.of.Internet.Ads.,How.often.do.you.purchase.a.product.because.of.an.internet.ad.,How.do.you.feel.about.Ads.based.off.your.browsing.history.,Would.you.want.to.look.at.ads.that.are.personalized.to.you.,Start.Date..UTC.,Submit.Date..UTC.,Network.ID
59d2b76b12d8e15ceb99ed0a9ee648fc,ash,35,F,iphone,1,1,Sometimes,Browsing Data,,,,,,,,Financial,,,,Browsing Data,,Financial,Mobile Data,,,5,1,9,1,6/16/15 16:51,6/16/15 16:53,d5e5c994a8
4724a91dd09f2db9d37922af07db9cd9,dennis,23,M,iphone,1,0,Frequently,,,,,None of the Above,,,,Financial,,,,Browsing Data,,,,,,-1,0,-1,-1,6/16/15 17:00,6/16/15 17:01,a10a497fe4
1fed57a3eb6cbfabd4c9c4e3db7a5d9d,ziquan,21,M,Iphone,1,0,Sometimes,,Health,Financial,,,,,Health,Financial,,,,Browsing Data,Health,Financial,,,,3,1,4,1,6/16/15 16:58,6/16/15 18:02,d5e5c994a8
f62ce29c45d4c77d6cb45c36c969404b,Kevin,21,M,Samsung S3,1,1,Frequently,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,-1,0,-1,0,6/17/15 14:36,6/17/15 14:38,2484794c6c
6f895b34f1d1aa19484da31b31cb40e2,Wendy,20,F,iPhone ,0,0,Never,Browsing Data,,,,,,Browsing Data,,,,,,Browsing Data,,,,,,3,1,3,1,6/17/15 14:41,6/17/15 14:43,2b62103be6
f3435d780c5d72ec36dd5ce0910ff4de,Bill,20,M,Nexus 4,1,0,Frequently,Browsing Data,,,,,,,,,,None of the Above,,,,,,None of the Above,,2,0,3,1,6/17/15 14:42,6/17/15 14:44,32566e2f10
f2eef80cb1bc5b9cace14be1897450e8,Lauren,22,F,iphone 6,0,0,Never,Browsing Data,,Financial,Mobile Data,,,,,,Mobile Data,,,Browsing Data,,Financial,Mobile Data,,,2,1,3,1,6/17/15 14:46,6/17/15 14:47,98d12c3cc6
b7f2547bceb30a5467be15bb82dde63c,Katharina,21,F,iPhone,1,0,Sometimes,Browsing Data,,,,,,,,,,None of the Above,,,,,,None of the Above,,3,1,4,1,6/17/15 14:48,6/17/15 14:49,169ce7ea58
293731a7fa55859ed6adf8f636f1af65,Joanna,21,F,iPhone,1,1,Sometimes,Browsing Data,,,,,,Browsing Data,,Financial,Mobile Data,,,Browsing Data,,,,,,3,0,4,0,6/17/15 14:52,6/17/15 14:53,b7935bf989
cc2e27fe3260f4e850f881785a791f64,Kong Huang,21,M,Galaxy Note 4,1,1,Frequently,,,,,None of the Above,,,,,,None of the Above,,,,,,None of the Above,,1,0,5,0,6/17/15 14:58,6/17/15 14:59,5338bda564
a0327fce15ec27414b06abf1d61ccc53,Jenelle,34,F,iPhone 6,0,0,Never,Browsing Data,,,Mobile Data,,,,,,,None of the Above,,Browsing Data,,,Mobile Data,,,3,1,3,1,6/17/15 15:03,6/17/15 15:05,5ebe54794e
beac30576de452d57690c1ec08139eb8,Big daddy ,20,M,Iphone 6,1,1,Frequently,Browsing Data,,Financial,,,,,,,,,None ,,,,,None of the Above,,3,1,4,0,6/17/15 15:04,6/17/15 15:06,213f1673af
4e3c6b26d22bab53f948e08aed2267f5,Kyuhyun CHoi,21,M,Samsung Galaxy S5,1,0,Sometimes,Browsing Data,,,Mobile Data,,,,,Financial,,,,,,,,None of the Above,,1,1,3,1,6/17/15 15:05,6/17/15 15:07,c543de21cc
672a8bbf0daf994149c2a236005024a2,David,20,M,iPhone ,1,1,Frequently,Browsing Data,Health,Financial,Mobile Data,,,Browsing Data,Health,Financial,Mobile Data,,,Browsing Data,Health,Financial,Mobile Data,,,1,1,1,-1,6/17/15 15:09,6/17/15 15:14,5fc49f14cb
